android.permission.ACCESS_ATTENTION_LISTENER,[5]
android.permission.ACCESS_BIOMETRIC_SENSOR_STRENGTHS,[5]
android.permission.ACCESS_CELL_BROADCAST,[5]
android.permission.ACCESS_COMPANION_INFO,[5]
android.permission.ACCESS_COMPANION_MESSAGE_PCC,[5]
android.permission.ACCESS_COMPUTER_CONTROL,[5]
android.permission.ACCESS_HID,[5]
android.permission.ACCESS_LOCAL_NETWORK,[5]
android.permission.ACCESS_NPU_MODEL_MANAGER_API,[-]
android.permission.ACQUIRE_SLEEP_LOCK,[5]
android.permission.ACQUIRE_VERIFIED_DEVICE_TOKEN,[5]
android.permission.ALLOW_CONTROL_SYSTEM_REQUIRED_PACKAGES,[5]
android.permission.ATTRIBUTE_WORK_TO_OTHER_APPS,[-]
android.permission.BIND_ALLOWLIST_PROVIDER_SERVICE,[5]
android.permission.BIND_ALTERNATIVE_MESSAGE_TRANSPORT_SERVICE,[5]
android.permission.BIND_APP_SEARCH_ISOLATED_STORAGE_SERVICE,[5]
android.permission.BIND_CONTENT_RESTRICTION_SERVICE,[5]
android.permission.BIND_CONTENT_SAFETY_SERVICE,[5]
android.permission.BIND_CONTEXT_COMPONENT_SERVICE,[5]
android.permission.BIND_DEVELOPER_VERIFICATION_AGENT,[5]
android.permission.BIND_INSIGHT_RENDERER_SERVICE,[5]
android.permission.BIND_INSIGHT_SURFACE_VISUALIZER_SERVICE,[5]
android.permission.BIND_MOTION_CUES_SERVICE,[5]
android.permission.BIND_SANDBOXED_CONTENT_SAFETY_SERVICE,[5]
android.permission.BIND_SETTINGS_CONTENT_SAFETY_SERVICE,[5]
android.permission.BIND_SUPERVISION_APP_SERVICE,[5]
android.permission.BIND_TO_TAP_TO_SHARE_SERVICE,[5]
android.permission.BIND_TRUST_TOKEN_SERVICE,[5]
android.permission.CAPTURE_KEYBOARD,[-]
android.permission.CHANGE_PERSONAL_CONTEXT_MODE,[5]
android.permission.CHECK_CONTENT_SAFETY,[5]
android.permission.CONFIGURE_ANOMALY_DETECTOR,[5]
android.permission.CONTROLLER_REMAPPING,[5]
android.permission.CONTROL_SIM_AUTO_PIN_MANAGEMENT,[5]
android.permission.CREATE_APP_SPECIFIC_NETWORK,[3]
android.permission.DEVELOPER_VERIFICATION_AGENT,[5]
android.permission.DISCOVER_APP_FUNCTIONS,[5]
android.permission.DRAW_MOTION_CUES,[5]
android.permission.EXECUTE_APP_FUNCTIONS_SYSTEM,[5]
android.permission.FORCE_USE_LOOPBACK_INTERFACE,[1]
android.permission.GET_DEVICE_LOCK_ENROLLMENT_TYPE,[5]
android.permission.GET_ROLE_HOLDERS,[5]
android.permission.HIDE_STATUS_BAR_NOTIFICATION,[5]
android.permission.INITIATE_BUGREPORT_AS_NON_ADMIN,[3]
android.permission.INJECT_KEY_EVENTS,[5]
android.permission.LOCK_APPS,[1]
